id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
L001_3124,"L001 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2014/08/334974926_181613047944838_2809513197679218185_n.jpg,https://www.okpsdoor.com/product/jhon-doe-copy/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001_3124,,"https://www.okpsdoor.com/wp-content/uploads/2019/11/L001-mdf-lake-konya-kapi-imalati-okps-kapi-e1683706584391.png",,0,new,published,,,,,4634,,
okps01_3680,"Ak0001 Door PVC MDF","Visit our show room . İnterior door",https://www.okpsdoor.com/wp-content/uploads/2023/05/AK1000.png,https://www.okpsdoor.com/product/ak0001-door-pvc-mdf/,"PVC Mdf","Okps Door Industry",0USD,in stock,okps01_3680,,"https://www.okpsdoor.com/wp-content/uploads/2014/08/4fdf374b994fc707a5b88b2518b704e9.jpg",,0,new,published,,,,,4634,,
L001-1_3722,"L001 Lacquered MDF Door (Copy)","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2014/08/334974926_181613047944838_2809513197679218185_n.jpg,https://www.okpsdoor.com/product/l001-lacquered-mdf-door-copy/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-1_3722,,"https://www.okpsdoor.com/wp-content/uploads/2019/11/L001-mdf-lake-konya-kapi-imalati-okps-kapi-e1683706584391.png,https://www.okpsdoor.com/wp-content/uploads/2023/05/L027-mdf-lake-kapi-imalati-konya-kapi-modelleri-01i.png,https://www.okpsdoor.com/wp-content/uploads/2023/05/L026mdf-lake-kapi-imalati-konya-kapi-modelleri-01kapi.png",,0,new,published,,,,,4634,,
L001-2_3723,"L002 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L002-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png,https://www.okpsdoor.com/product/l002-lacquered-mdf-door/,"Door, Lacquered MDF Doors","OKPS",1USD,in stock,L001-2_3723,,,,0,new,published,,,,,4634,,
L001-3_3724,"L003 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L003-mdf-lake-kapi-imalati-konya-kapi-modelleri-01-1.png,https://www.okpsdoor.com/product/l003-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-3_3724,,"https://www.okpsdoor.com/wp-content/uploads/2023/05/L003-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png",,0,new,published,,,,,4634,,
L001-4_3725,"L004 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L004-mdf-lake-antalya-kapi-modelleri-kartallar-kapi-imalati-01.png,https://www.okpsdoor.com/product/l004-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-4_3725,,,,0,new,published,,,,,4634,,
L001-5_3726,"L005 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/l005-mdf-lake-kapilar-uretimi.png,https://www.okpsdoor.com/product/l005-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-5_3726,,,,0,new,published,,,,,4634,,
L001-6_3727,"L006 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L006-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png,https://www.okpsdoor.com/product/l006-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-6_3727,,,,0,new,published,,,,,4634,,
L001-7_3728,"L007 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2023/05/L007-mdf-lake-kapi-imalati-konya-kapi-modelleri-01.png,https://www.okpsdoor.com/product/l007-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-7_3728,,,,0,new,published,,,,,4634,,
L001-8_3729,"L008 Lacquered MDF Door","Be Distributor.... MDF is a high-quality durable material that can be processed with CNC machines and on which unique patterns can be created by engraving. Thanks to modern technology, the possibilities for door design are almost unlimited. Lacquered MDF doors, which are coated with a special varnish, have a bright appearance and a long service life under normal use and maintenance.",https://www.okpsdoor.com/wp-content/uploads/2014/08/334974926_181613047944838_2809513197679218185_n.jpg,https://www.okpsdoor.com/product/l008-lacquered-mdf-door/,"Door, Lacquered MDF Doors","Okps Door Industry",1USD,in stock,L001-8_3729,,"https://www.okpsdoor.com/wp-content/uploads/2023/05/L008-mdf-lake-kapi-imalati-konya-kapi-modelleri-011.png",,0,new,published,,,,,4634,,
